iteration, destination,2->4,2->3,1->3,3->4,0->4,0->3,
1,4,1.0,1.0,1.0909090909090908,1.0909090909090908,1.0,1.0,
2,4,1.0,1.0,1.0909090909090908,1.1818181818181817,1.0,1.0909090909090908,
3,4,1.0833333333333333,1.0,1.0909090909090908,1.1818181818181817,1.0,1.0909090909090908,
4,4,1.0833333333333333,1.0909090909090908,1.0909090909090908,1.2727272727272725,1.0,1.0909090909090908,
5,4,1.0833333333333333,1.0909090909090908,1.0909090909090908,1.2727272727272725,1.0833333333333333,1.0909090909090908,
6,4,1.1666666666666665,1.0909090909090908,1.0909090909090908,1.2727272727272725,1.0833333333333333,1.0909090909090908,
7,4,1.2499999999999998,1.0909090909090908,1.0909090909090908,1.2727272727272725,1.0833333333333333,1.0909090909090908,
8,4,1.2499999999999998,1.0909090909090908,1.1818181818181817,1.3636363636363633,1.0833333333333333,1.0909090909090908,
9,4,1.333333333333333,1.0909090909090908,1.1818181818181817,1.3636363636363633,1.0833333333333333,1.0909090909090908,
10,4,1.333333333333333,1.0909090909090908,1.1818181818181817,1.4545454545454541,1.0833333333333333,1.1818181818181817,
11,4,1.333333333333333,1.0909090909090908,1.2727272727272725,1.545454545454545,1.0833333333333333,1.1818181818181817,
12,4,1.333333333333333,1.0909090909090908,1.2727272727272725,1.6363636363636358,1.0833333333333333,1.2727272727272725,
13,4,1.333333333333333,1.0909090909090908,1.3636363636363633,1.7272727272727266,1.0833333333333333,1.2727272727272725,
14,4,1.4166666666666663,1.0909090909090908,1.3636363636363633,1.7272727272727266,1.0833333333333333,1.2727272727272725,
15,4,1.4166666666666663,1.0,1.3636363636363633,1.7272727272727266,1.0833333333333333,1.2727272727272725,
16,4,1.4166666666666663,1.0,1.3636363636363633,1.7272727272727266,1.1666666666666665,1.2727272727272725,
17,4,1.4166666666666663,1.0,1.3636363636363633,1.8181818181818175,1.1666666666666665,1.3636363636363633,
18,4,1.4166666666666663,1.0,1.3636363636363633,1.8181818181818175,1.1666666666666665,1.3636363636363633,
19,4,1.4166666666666663,1.0,1.3636363636363633,1.8181818181818175,1.1666666666666665,1.0,
20,4,1.4166666666666663,1.0,1.0,1.8181818181818175,1.1666666666666665,1.0,
21,4,1.4166666666666663,1.0,1.0909090909090908,1.9090909090909083,1.1666666666666665,1.0,
22,4,1.2749999999999997,1.0,1.0,1.7181818181818176,1.0499999999999998,1.0,
23,4,1.2749999999999997,1.0,1.0,1.8090909090909084,1.0499999999999998,1.0909090909090908,
