iteration, destination,9->6,9->3,0->4,0->2,0->1,0->7,4->0,4->2,4->1,4->7,8->5,8->3,2->0,2->4,2->1,2->7,6->9,6->3,5->8,5->3,1->0,1->4,1->2,1->7,7->0,7->4,7->2,7->1,3->9,3->8,3->6,3->5,
11,9,1.0,1.0,1.0769230769230769,1.0,1.0,1.3935406698564592,1.1678321678321677,1.0,1.0,1.25,1.0,1.0909090909090908,1.0,1.0,1.0,1.0,1.3928571428571428,1.2864468864468863,1.0,1.0,1.0,1.0909090909090908,1.0,1.0526315789473684,1.0,1.25,1.0,1.0909090909090908,1.0,1.0526315789473684,1.4595238095238094,1.0,
12,9,1.0,1.0,1.0769230769230769,1.0,1.0,1.3935406698564592,1.1678321678321677,1.0,1.0,1.25,1.0,1.0909090909090908,1.0,1.0,1.0,1.0,1.3928571428571428,1.3773559773559771,1.0,1.0909090909090908,1.0,1.0909090909090908,1.0909090909090908,1.0526315789473684,1.0,1.25,1.0,1.0909090909090908,1.0,1.0526315789473684,1.4595238095238094,1.0909090909090908,
13,9,1.0,1.0,1.0769230769230769,1.0,1.0,1.3935406698564592,1.1678321678321677,1.0,1.0,1.25,1.0,1.0909090909090908,1.0,1.0,1.0,1.0,1.3928571428571428,1.3773559773559771,1.0,1.0909090909090908,1.0,1.0909090909090908,1.0909090909090908,1.0526315789473684,1.0,1.25,1.0,1.0909090909090908,1.0,1.0526315789473684,1.4595238095238094,1.0909090909090908,
14,9,1.0,1.0,1.0769230769230769,1.0,1.0,1.3935406698564592,1.1678321678321677,1.0,1.0,1.25,1.0,1.0909090909090908,1.0,1.0,1.0,1.0,1.3928571428571428,1.3773559773559771,1.0,1.0909090909090908,1.0,1.0909090909090908,1.0909090909090908,1.0526315789473684,1.0,1.25,1.0,1.0909090909090908,1.0,1.0526315789473684,1.4595238095238094,1.0909090909090908,
15,9,1.0,1.0,1.0769230769230769,1.0,1.0,1.4935406698564593,1.1678321678321677,1.0,1.0,1.25,1.1,1.0909090909090908,1.1,1.0,1.0,1.0,1.3928571428571428,1.3773559773559771,1.1,1.0909090909090908,1.0,1.0909090909090908,1.0909090909090908,1.0526315789473684,1.0,1.25,1.0,1.0909090909090908,1.0,1.0526315789473684,1.4595238095238094,1.0909090909090908,
16,9,1.0,1.0,1.0769230769230769,1.0,1.0,1.4935406698564593,1.1678321678321677,1.0,1.0,1.4166666666666667,1.1,1.0909090909090908,1.1,1.0,1.0,1.0,1.3928571428571428,1.3773559773559771,1.1,1.0909090909090908,1.0,1.2575757575757576,1.0909090909090908,1.0526315789473684,1.0,1.25,1.0,1.0909090909090908,1.0,1.0526315789473684,1.6261904761904762,1.0909090909090908,
17,9,1.0,1.0,1.0769230769230769,1.0,1.2,1.4935406698564593,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.0909090909090908,1.1,1.0,1.2,1.0,1.3928571428571428,1.3773559773559771,1.1,1.0909090909090908,1.0,1.4575757575757575,1.0909090909090908,1.0526315789473684,1.0,1.25,1.0,1.0909090909090908,1.0,1.0526315789473684,1.6261904761904762,1.0909090909090908,
18,9,1.0,1.0,1.0769230769230769,1.0,1.2,1.636397812713602,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.0909090909090908,1.1,1.0,1.2,1.0,1.5357142857142856,1.3773559773559771,1.1,1.0909090909090908,1.0,1.4575757575757575,1.0909090909090908,1.0526315789473684,1.0,1.3928571428571428,1.0,1.0909090909090908,1.0,1.0526315789473684,1.6261904761904762,1.0909090909090908,
19,9,1.0,1.0,1.0769230769230769,1.0,1.2,1.636397812713602,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.0909090909090908,1.1,1.0,1.2,1.0,1.5357142857142856,1.3773559773559771,1.1,1.0909090909090908,1.0,1.4575757575757575,1.0909090909090908,1.0526315789473684,1.0,1.3928571428571428,1.0,1.0909090909090908,1.0,1.0526315789473684,1.6261904761904762,1.0909090909090908,
20,9,1.0,1.0,1.0769230769230769,1.0,1.2,1.636397812713602,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.0909090909090908,1.1,1.0,1.2,1.0,1.5357142857142856,1.3773559773559771,1.1,1.0909090909090908,1.0,1.4575757575757575,1.0909090909090908,1.0526315789473684,1.0,1.3928571428571428,1.0,1.0909090909090908,1.0,1.0526315789473684,1.6261904761904762,1.0909090909090908,
21,9,1.0,1.0,1.0,1.0,1.2,1.636397812713602,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.0909090909090908,1.1,1.0,1.2,1.0,1.5357142857142856,1.3773559773559771,1.1,1.0909090909090908,1.0,1.4575757575757575,1.0909090909090908,1.0526315789473684,1.0,1.3928571428571428,1.0,1.0909090909090908,1.0,1.0526315789473684,1.6261904761904762,1.0909090909090908,
22,9,1.0,1.0,1.0,1.0,1.2,1.8030644793802688,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.0909090909090908,1.1,1.0,1.2,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0,1.4575757575757575,1.0909090909090908,1.0526315789473684,1.1666666666666667,1.3928571428571428,1.0,1.0909090909090908,1.0,1.0526315789473684,1.6261904761904762,1.2575757575757576,
23,9,1.0,1.0,1.0,1.0,1.2,1.8030644793802688,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.0909090909090908,1.1,1.0,1.2,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0,1.4575757575757575,1.0909090909090908,1.0526315789473684,1.1666666666666667,1.3928571428571428,1.0,1.0909090909090908,1.0,1.0526315789473684,1.6261904761904762,1.2575757575757576,
24,9,1.0,1.0,1.0,1.0,1.2,2.003064479380269,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.0909090909090908,1.1,1.0,1.2,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0,1.4575757575757575,1.0909090909090908,1.0526315789473684,1.3666666666666667,1.3928571428571428,1.0,1.0909090909090908,1.0,1.0526315789473684,1.6261904761904762,1.2575757575757576,
25,9,1.0,1.0,1.0,1.0,1.2,2.003064479380269,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.0909090909090908,1.1,1.0,1.2,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0,1.4575757575757575,1.0909090909090908,1.0526315789473684,1.3666666666666667,1.3928571428571428,1.0,1.0909090909090908,1.0,1.0526315789473684,1.6261904761904762,1.2575757575757576,
26,9,1.0,1.0,1.0,1.0,1.2,2.003064479380269,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.0909090909090908,1.1,1.0,1.2,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0,1.4575757575757575,1.0909090909090908,1.0526315789473684,1.3666666666666667,1.3928571428571428,1.0,1.0909090909090908,1.0,1.0526315789473684,1.6261904761904762,1.2575757575757576,
27,9,1.0,1.0,1.0,1.0,1.2,2.003064479380269,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.0909090909090908,1.1,1.0,1.2,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0,1.4575757575757575,1.0909090909090908,1.0526315789473684,1.3666666666666667,1.3928571428571428,1.0,1.0909090909090908,1.0,1.0526315789473684,1.6261904761904762,1.2575757575757576,
28,9,1.0,1.0,1.0,1.0,1.2,2.003064479380269,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.0909090909090908,1.1,1.0,1.2,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0,1.4575757575757575,1.0909090909090908,1.0526315789473684,1.3666666666666667,1.3928571428571428,1.0,1.0909090909090908,1.0,1.0526315789473684,1.6261904761904762,1.2575757575757576,
29,9,1.0,1.0,1.0,1.0,1.2,2.128064479380269,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.2159090909090908,1.1,1.0,1.2,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0,1.4575757575757575,1.0909090909090908,1.0526315789473684,1.3666666666666667,1.3928571428571428,1.0,1.0909090909090908,1.125,1.0526315789473684,1.6261904761904762,1.2575757575757576,
30,9,1.0,1.0,1.0,1.0,1.2,2.128064479380269,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.2159090909090908,1.1,1.0,1.2,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0,1.4575757575757575,1.0909090909090908,1.0526315789473684,1.3666666666666667,1.3928571428571428,1.0,1.0909090909090908,1.125,1.0526315789473684,1.6261904761904762,1.2575757575757576,
31,9,1.0,1.0,1.0,1.0,1.2,2.23917559049138,1.1678321678321677,1.2,1.0,1.4166666666666667,1.1,1.2159090909090908,1.1,1.0,1.2,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0,1.4575757575757575,1.202020202020202,1.0526315789473684,1.4777777777777779,1.3928571428571428,1.0,1.0909090909090908,1.125,1.0526315789473684,1.7373015873015873,1.2575757575757576,
32,9,1.0,1.0,1.0588235294117647,1.0,1.2588235294117647,2.23917559049138,1.1678321678321677,1.2,1.0588235294117647,1.4166666666666667,1.1,1.2159090909090908,1.1588235294117648,1.0,1.2588235294117647,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.4575757575757575,1.2608437314319667,1.0526315789473684,1.4777777777777779,1.3928571428571428,1.0588235294117647,1.0909090909090908,1.125,1.0526315789473684,1.7373015873015873,1.2575757575757576,
33,9,1.0,1.0,1.0588235294117647,1.5,1.2588235294117647,2.23917559049138,1.1678321678321677,1.2,1.0588235294117647,1.4166666666666667,1.1,1.2159090909090908,1.1588235294117648,1.0,1.2588235294117647,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.4575757575757575,1.2608437314319667,1.0526315789473684,1.4777777777777779,1.3928571428571428,1.0588235294117647,1.0909090909090908,1.125,1.0526315789473684,1.7373015873015873,1.2575757575757576,
34,9,1.0,1.0,1.0588235294117647,1.5,1.2588235294117647,2.23917559049138,1.1678321678321677,1.2,1.0588235294117647,1.4166666666666667,1.1,1.2159090909090908,1.1588235294117648,1.0,1.2588235294117647,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.4575757575757575,1.2608437314319667,1.0526315789473684,1.4777777777777779,1.3928571428571428,1.0588235294117647,1.0909090909090908,1.125,1.0526315789473684,1.7373015873015873,1.2575757575757576,
35,9,1.0,1.0,1.0588235294117647,1.5,1.2588235294117647,2.48917559049138,1.1678321678321677,1.2,1.0588235294117647,1.4166666666666667,1.1,1.2159090909090908,1.1588235294117648,1.0,1.2588235294117647,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.4575757575757575,1.2608437314319667,1.0526315789473684,1.7277777777777779,1.3928571428571428,1.0588235294117647,1.0909090909090908,1.375,1.0526315789473684,1.7373015873015873,1.2575757575757576,
36,9,1.0,1.0,1.0,1.5,1.2588235294117647,2.48917559049138,1.0,1.2,1.0588235294117647,1.4166666666666667,1.1,1.2159090909090908,1.1588235294117648,1.0,1.2588235294117647,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.4575757575757575,1.2608437314319667,1.0526315789473684,1.7277777777777779,1.3928571428571428,1.0588235294117647,1.0909090909090908,1.375,1.0526315789473684,1.7373015873015873,1.2575757575757576,
37,9,1.0,1.0,1.0,1.5,1.2588235294117647,2.48917559049138,1.0,1.2,1.0588235294117647,1.4166666666666667,1.1,1.2159090909090908,1.1588235294117648,1.0,1.2588235294117647,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.4575757575757575,1.2608437314319667,1.0526315789473684,1.7277777777777779,1.3928571428571428,1.0588235294117647,1.0909090909090908,1.375,1.0526315789473684,1.7373015873015873,1.2575757575757576,
38,9,1.0,1.0,1.0,1.5,1.2588235294117647,2.48917559049138,1.0,1.2,1.0588235294117647,1.4166666666666667,1.1,1.2159090909090908,1.1588235294117648,1.0,1.2588235294117647,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.4575757575757575,1.2608437314319667,1.0526315789473684,1.7277777777777779,1.3928571428571428,1.0588235294117647,1.0909090909090908,1.375,1.0526315789473684,1.7373015873015873,1.2575757575757576,
39,9,1.0,1.0,1.0,1.5,1.2588235294117647,2.48917559049138,1.0,1.2,1.0588235294117647,1.4166666666666667,1.1,1.2159090909090908,1.1588235294117648,1.0,1.2588235294117647,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.4575757575757575,1.2608437314319667,1.0526315789473684,1.7277777777777779,1.3928571428571428,1.0588235294117647,1.0909090909090908,1.375,1.0526315789473684,1.7373015873015873,1.2575757575757576,
40,9,1.0,1.0,1.0,1.5625,1.2588235294117647,2.48917559049138,1.0,1.2,1.1213235294117647,1.4166666666666667,1.1,1.2159090909090908,1.2213235294117648,1.0,1.2588235294117647,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.5200757575757575,1.2608437314319667,1.1151315789473684,1.7277777777777779,1.3928571428571428,1.0588235294117647,1.0909090909090908,1.375,1.0526315789473684,1.7373015873015873,1.2575757575757576,
41,9,1.0,1.0,1.0,1.5625,1.2588235294117647,2.48917559049138,1.0,1.2,1.1213235294117647,1.4166666666666667,1.1,1.2159090909090908,1.2213235294117648,1.0,1.2588235294117647,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.5200757575757575,1.2608437314319667,1.1151315789473684,1.7277777777777779,1.3928571428571428,1.0588235294117647,1.0909090909090908,1.375,1.0526315789473684,1.7373015873015873,1.2575757575757576,
42,9,1.0,1.0,1.0,1.5625,1.2588235294117647,2.48917559049138,1.0,1.2,1.1213235294117647,1.4166666666666667,1.1,1.2159090909090908,1.2213235294117648,1.0,1.2588235294117647,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.5200757575757575,1.2608437314319667,1.1151315789473684,1.7277777777777779,1.3928571428571428,1.0,1.0909090909090908,1.375,1.0526315789473684,1.7373015873015873,1.2575757575757576,
43,9,1.0,1.0,1.0,1.5625,1.2588235294117647,2.48917559049138,1.0,1.2,1.1213235294117647,1.4166666666666667,1.1,1.2159090909090908,1.2213235294117648,1.0,1.2588235294117647,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.5200757575757575,1.2608437314319667,1.1151315789473684,1.7277777777777779,1.3928571428571428,1.0,1.0909090909090908,1.375,1.0526315789473684,1.7373015873015873,1.2575757575757576,
44,9,1.0,1.0,1.0,1.5625,1.3254901960784313,2.48917559049138,1.0,1.2666666666666666,1.1213235294117647,1.4166666666666667,1.1,1.2825757575757575,1.2213235294117648,1.0666666666666667,1.2588235294117647,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.5200757575757575,1.2608437314319667,1.181798245614035,1.7277777777777779,1.4595238095238094,1.0,1.0909090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
45,9,1.0,1.0,1.0,1.5625,1.3254901960784313,2.48917559049138,1.0526315789473684,1.2666666666666666,1.1213235294117647,1.4166666666666667,1.1,1.2825757575757575,1.2213235294117648,1.0666666666666667,1.2588235294117647,1.0,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.5727073365231259,1.2608437314319667,1.181798245614035,1.7277777777777779,1.4595238095238094,1.0,1.0909090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
46,9,1.0,1.0,1.0,1.6875,1.3254901960784313,2.48917559049138,1.0526315789473684,1.2666666666666666,1.1213235294117647,1.4166666666666667,1.1,1.2825757575757575,1.3463235294117648,1.0666666666666667,1.2588235294117647,1.125,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.5727073365231259,1.3858437314319667,1.181798245614035,1.7277777777777779,1.4595238095238094,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
47,9,1.0,1.0,1.0,1.6875,1.3254901960784313,2.48917559049138,1.0526315789473684,1.2666666666666666,1.1213235294117647,1.4166666666666667,1.1,1.2825757575757575,1.3463235294117648,1.0666666666666667,1.2588235294117647,1.125,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.5727073365231259,1.3858437314319667,1.181798245614035,1.7277777777777779,1.4595238095238094,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
48,9,1.0,1.0,1.0,1.6875,1.3254901960784313,2.73917559049138,1.0526315789473684,1.2666666666666666,1.1213235294117647,1.4166666666666667,1.1,1.2825757575757575,1.3463235294117648,1.0666666666666667,1.2588235294117647,1.125,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.5727073365231259,1.3858437314319667,1.181798245614035,1.7277777777777779,1.4595238095238094,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
49,9,1.0,1.0,1.0,1.6875,1.0,1.0,1.0,1.2666666666666666,1.1213235294117647,1.4166666666666667,1.1,1.2825757575757575,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.0,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
50,9,1.0,1.0,1.0,1.6875,1.0,1.5,1.0,1.2666666666666666,1.1213235294117647,1.4166666666666667,1.1,1.2825757575757575,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.0,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
51,9,1.0,1.0,1.0,1.6875,1.0,1.5,1.0,1.2666666666666666,1.1213235294117647,1.4166666666666667,1.1,1.2825757575757575,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.0,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
52,9,1.0,1.0,1.0,1.8125,1.0,1.5,1.0,1.2666666666666666,1.1213235294117647,1.4166666666666667,1.1,1.2825757575757575,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.0,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
53,9,1.0,1.0,1.0,1.8125,1.0,1.5,1.0,1.2666666666666666,1.1213235294117647,1.4166666666666667,1.1,1.2825757575757575,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.0,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
54,9,1.0,1.0,1.0,1.8125,1.0,1.5,1.0,1.2666666666666666,1.1213235294117647,1.4166666666666667,1.1,1.2825757575757575,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.5440226440226439,1.1,1.0909090909090908,1.0588235294117647,1.0,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
55,9,1.0,1.0,1.0,1.8958333333333333,1.0,1.5,1.0,1.3499999999999999,1.1213235294117647,1.4166666666666667,1.1,1.2825757575757575,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.6273559773559771,1.1,1.0909090909090908,1.0588235294117647,1.0,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
56,9,1.0,1.0,1.0,1.8958333333333333,1.0,1.5,1.0,1.3499999999999999,1.1213235294117647,1.4166666666666667,1.190909090909091,1.3734848484848483,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.6273559773559771,1.190909090909091,1.0909090909090908,1.0588235294117647,1.0,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
57,9,1.0,1.0,1.0,1.8958333333333333,1.1428571428571428,1.5,1.0,1.3499999999999999,1.2641806722689075,1.4166666666666667,1.190909090909091,1.3734848484848483,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.6273559773559771,1.190909090909091,1.0909090909090908,1.0588235294117647,1.0,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
58,9,1.0,1.0,1.3333333333333333,1.8958333333333333,1.1428571428571428,1.5,1.3333333333333333,1.3499999999999999,1.2641806722689075,1.4166666666666667,1.190909090909091,1.3734848484848483,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.6273559773559771,1.190909090909091,1.0909090909090908,1.0588235294117647,1.0,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
59,9,1.0,1.0,1.3333333333333333,1.8958333333333333,1.1428571428571428,1.5,1.3333333333333333,1.3499999999999999,1.2641806722689075,1.4166666666666667,1.190909090909091,1.3734848484848483,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.6273559773559771,1.190909090909091,1.0909090909090908,1.0588235294117647,1.0,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
60,9,1.0,1.0,1.3333333333333333,1.8958333333333333,1.1428571428571428,1.5,1.3333333333333333,1.3499999999999999,1.2641806722689075,1.4166666666666667,1.190909090909091,1.3734848484848483,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.6273559773559771,1.190909090909091,1.0909090909090908,1.0588235294117647,1.0,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.119298245614035,1.7373015873015873,1.2575757575757576,
61,9,1.0,1.0,1.3333333333333333,1.8958333333333333,1.1428571428571428,1.5,1.3333333333333333,1.3499999999999999,1.2641806722689075,1.4166666666666667,1.190909090909091,1.3734848484848483,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.6273559773559771,1.190909090909091,1.0909090909090908,1.0588235294117647,1.1111111111111112,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.2304093567251462,1.7373015873015873,1.2575757575757576,
62,9,1.0,1.0,1.3333333333333333,1.8958333333333333,1.1428571428571428,1.5,1.3333333333333333,1.3499999999999999,1.2641806722689075,1.4166666666666667,1.290909090909091,1.3734848484848483,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.6273559773559771,1.290909090909091,1.0909090909090908,1.0588235294117647,1.1111111111111112,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.2304093567251462,1.7373015873015873,1.2575757575757576,
63,9,1.0,1.0,1.3333333333333333,1.8958333333333333,1.1428571428571428,1.5,1.3333333333333333,1.3499999999999999,1.2641806722689075,1.4166666666666667,1.290909090909091,1.3734848484848483,1.3463235294117648,1.0,1.2588235294117647,1.125,1.5357142857142856,1.6273559773559771,1.290909090909091,1.0909090909090908,1.0588235294117647,1.1111111111111112,1.3858437314319667,1.181798245614035,1.7277777777777779,1.0,1.0,1.2159090909090908,1.375,1.2304093567251462,1.7373015873015873,1.2575757575757576,
