iteration, destination,3->4,0->3,0->4,2->3,2->4,1->3,
1,4,1.0909090909090908,1.0,1.0,1.0,1.0,1.0909090909090908,
2,4,1.0909090909090908,1.0,1.0833333333333333,1.0,1.0,1.0909090909090908,
3,4,1.0909090909090908,1.0,1.0833333333333333,1.0,1.0833333333333333,1.0909090909090908,
4,4,1.1818181818181817,1.0,1.0833333333333333,1.0,1.0833333333333333,1.1818181818181817,
5,4,1.1818181818181817,1.0,1.1666666666666665,1.0,1.0833333333333333,1.1818181818181817,
6,4,1.2727272727272725,1.0,1.1666666666666665,1.0909090909090908,1.0833333333333333,1.1818181818181817,
7,4,1.2727272727272725,1.0,1.2499999999999998,1.0909090909090908,1.0833333333333333,1.1818181818181817,
8,4,1.3636363636363633,1.0,1.2499999999999998,1.0909090909090908,1.0833333333333333,1.2727272727272725,
9,4,1.3636363636363633,1.0,1.2499999999999998,1.0909090909090908,1.1666666666666665,1.2727272727272725,
10,4,1.3636363636363633,1.0,1.333333333333333,1.0909090909090908,1.1666666666666665,1.2727272727272725,
11,4,1.3636363636363633,1.0,1.333333333333333,1.0909090909090908,1.2499999999999998,1.2727272727272725,
12,4,1.4545454545454541,1.0,1.333333333333333,1.1818181818181817,1.2499999999999998,1.2727272727272725,
13,4,1.4545454545454541,1.0,1.4166666666666663,1.1818181818181817,1.2499999999999998,1.2727272727272725,
14,4,1.4545454545454541,1.0,1.4999999999999996,1.1818181818181817,1.2499999999999998,1.2727272727272725,
15,4,1.4545454545454541,1.0,1.4999999999999996,1.1818181818181817,1.333333333333333,1.2727272727272725,
16,4,1.545454545454545,1.0,1.4999999999999996,1.1818181818181817,1.333333333333333,1.3636363636363633,
17,4,1.6363636363636358,1.0,1.4999999999999996,1.1818181818181817,1.333333333333333,1.4545454545454541,
18,4,1.6363636363636358,1.0,1.4999999999999996,1.1818181818181817,1.4166666666666663,1.4545454545454541,
19,4,1.7272727272727266,1.0,1.4999999999999996,1.1818181818181817,1.4166666666666663,1.545454545454545,
20,4,1.8181818181818175,1.0,1.4999999999999996,1.2727272727272725,1.4166666666666663,1.545454545454545,
21,4,1.8181818181818175,1.0,1.4999999999999996,1.2727272727272725,1.4999999999999996,1.545454545454545,
22,4,1.9090909090909083,1.0909090909090908,1.4999999999999996,1.2727272727272725,1.4999999999999996,1.545454545454545,
