iteration, destination,2->6,0->1,0->9,0->8,0->5,0->4,3->7,3->1,7->3,7->1,1->0,1->3,1->7,1->4,6->2,6->8,6->5,9->0,9->8,9->5,9->4,8->0,8->6,8->9,8->5,8->4,5->0,5->6,5->9,5->8,5->4,4->0,4->1,4->9,4->8,4->5,
17,9,1.0,1.0,1.1079166698619862E9,1.0,1.0,1.0,2225.048498325287,1.0,2225.048498325287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2225.048498325287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
18,9,1.0,1.0,1.1079166698619862E9,1.0,1.0,1.0,2225.048498325287,1.0,2225.048498325287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
19,9,1.0,1.0,1.1079166698619862E9,1.0,1.0,1.0,2225.048498325287,1.0,2225.048498325287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
20,9,1.0,1.0,1.1079166698619862E9,9100.438150002134,1.0,1.0,2225.048498325287,1.0,2225.048498325287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9100.438150002134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
21,9,1.0,1.0,5709953.464911381,46.901612513231356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.901612513231356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
22,9,1.0,1.0,5709953.464911381,46.901612513231356,1.0,1.0,1.0,1.0,9100.438150002134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,229349.8615990074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
23,9,1.0,1.0,5709953.464911381,46.901612513231356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,229349.8615990074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
24,9,1.0,1.0,5709953.464911381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,229349.8615990074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
25,9,1.0,1.0,5709953.464911381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4726209403380724E7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,194.03252174826372,1.0,
26,9,1.0,1.0,29427.816602411796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75895.57292094768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
27,9,1.0,1.0,29427.816602411796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75895.57292094768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
